year,grid_x,grid_y,retail_count
2016.0,-1750,750,37
2016.0,-1750,1000,107
2016.0,-1750,1250,55
2016.0,-1750,1500,5
2016.0,-1750,1750,1
2016.0,-1750,2250,8
2016.0,-1750,2500,7
2016.0,-1750,2750,44
2016.0,-1750,3000,5
2016.0,-1750,3250,11
2016.0,-1750,3500,7
2016.0,-1750,3750,2
2016.0,-1750,4000,3
2016.0,-1750,5750,14
2016.0,-1750,6250,1
2016.0,-1750,6500,8
2016.0,-1750,8000,3
2016.0,-1500,-7750,1
2016.0,-1500,-6750,9
2016.0,-1500,-6000,1
2016.0,-1500,-5750,39
2016.0,-1500,-5500,1
2016.0,-1500,-2750,1
2016.0,-1500,-2500,9
2016.0,-1500,-1500,1
2016.0,-1500,-750,3
2016.0,-1500,-500,50
2016.0,-1500,-250,46
2016.0,-1500,0,2
2016.0,-1500,250,46
2016.0,-1500,500,20
2016.0,-1500,750,21
2016.0,-1500,1000,24
2016.0,-1500,1250,5
2016.0,-1500,1500,14
2016.0,-1500,2500,11
2016.0,-1500,2750,51
2016.0,-1500,3000,3
2016.0,-1500,3250,10
2016.0,-1500,4000,1
2016.0,-1500,4250,2
2016.0,-1500,6250,20
2016.0,-1500,8000,5
2016.0,-1500,8250,4
2016.0,-1250,-7250,4
2016.0,-1250,-6250,2
2016.0,-1250,-5750,1
2016.0,-1250,-5500,1
2016.0,-1250,-5000,2
2016.0,-1250,-1750,9
2016.0,-1250,-1500,2
2016.0,-1250,-750,1
2016.0,-1250,-500,11
2016.0,-1250,-250,59
2016.0,-1250,0,73
2016.0,-1250,250,45
2016.0,-1250,500,34
2016.0,-1250,750,21
2016.0,-1250,1000,29
2016.0,-1250,1500,1
2016.0,-1250,1750,2
2016.0,-1250,2000,11
2016.0,-1250,2500,32
2016.0,-1250,2750,1
2016.0,-1250,3000,1
2016.0,-1250,3250,21
2016.0,-1250,3750,5
2016.0,-1250,4000,65
2016.0,-1250,4250,124
2016.0,-1250,4500,61
2016.0,-1250,5250,11
2016.0,-1250,6250,1
2016.0,-1250,6750,6
2016.0,-1250,7000,2
2016.0,-1250,7250,12
2016.0,-1000,-8000,8
2016.0,-1000,-7500,1
2016.0,-1000,-6500,8
2016.0,-1000,-5250,1
2016.0,-1000,-5000,5
2016.0,-1000,-4750,5
2016.0,-1000,-2750,1
2016.0,-1000,-2250,1
2016.0,-1000,-1000,6
2016.0,-1000,-750,44
2016.0,-1000,-500,97
2016.0,-1000,-250,139
2016.0,-1000,0,360
2016.0,-1000,250,126
2016.0,-1000,500,14
2016.0,-1000,750,2
2016.0,-1000,1000,5
2016.0,-1000,1250,4
2016.0,-1000,1500,11
2016.0,-1000,1750,1
2016.0,-1000,2000,2
2016.0,-1000,2500,1
2016.0,-1000,2750,30
2016.0,-1000,3000,2
2016.0,-1000,3750,3
2016.0,-1000,4000,9
2016.0,-1000,4250,1
2016.0,-1000,4500,1
2016.0,-1000,4750,1
2016.0,-1000,5250,3
2016.0,-1000,6000,3
2016.0,-1000,6250,1
2016.0,-1000,6750,3
2016.0,-1000,8000,9
2016.0,-750,-8250,1
2016.0,-750,-8000,1
2016.0,-750,-6500,2
2016.0,-750,-6250,3
2016.0,-750,-5250,18
2016.0,-750,-5000,31
2016.0,-750,-4750,13
2016.0,-750,-4500,4
2016.0,-750,-3250,1
2016.0,-750,-2500,4
2016.0,-750,-2250,30
2016.0,-750,-1000,13
2016.0,-750,-750,29
2016.0,-750,-500,37
2016.0,-750,-250,419
2016.0,-750,0,222
2016.0,-750,250,175
2016.0,-750,500,68
2016.0,-750,750,3
2016.0,-750,1000,4
2016.0,-750,1250,13
2016.0,-750,1500,4
2016.0,-750,1750,1
2016.0,-750,2000,27
2016.0,-750,2250,5
2016.0,-750,2500,1
2016.0,-750,2750,6
2016.0,-750,3000,7
2016.0,-750,3500,1
2016.0,-750,3750,1
2016.0,-750,4250,1
2016.0,-750,4500,3
2016.0,-750,5250,1
2016.0,-750,5500,10
2016.0,-750,5750,2
2016.0,-750,6250,4
2016.0,-750,6500,8
2016.0,-750,6750,6
2016.0,-750,7000,4
2016.0,-750,7250,1
2016.0,-750,8250,6
2016.0,-750,9000,7
2016.0,-500,-7750,1
2016.0,-500,-7000,1
2016.0,-500,-6500,10
2016.0,-500,-6250,9
2016.0,-500,-6000,7
2016.0,-500,-5750,4
2016.0,-500,-5250,31
2016.0,-500,-5000,67
2016.0,-500,-4750,114
2016.0,-500,-4500,28
2016.0,-500,-3750,6
2016.0,-500,-3500,1
2016.0,-500,-3250,1
2016.0,-500,-2750,5
2016.0,-500,-2500,20
2016.0,-500,-2250,3
2016.0,-500,-1500,29
2016.0,-500,-1250,8
2016.0,-500,-1000,17
2016.0,-500,-750,13
2016.0,-500,-500,2
2016.0,-500,-250,37
2016.0,-500,0,11
2016.0,-500,250,18
2016.0,-500,500,34
2016.0,-500,750,19
2016.0,-500,1000,8
2016.0,-500,1250,1
2016.0,-500,1500,2
2016.0,-500,2250,1
2016.0,-500,2750,5
2016.0,-500,3000,20
2016.0,-500,3250,40
2016.0,-500,3500,6
2016.0,-500,3750,6
2016.0,-500,4000,4
2016.0,-500,4750,1
2016.0,-500,5750,4
2016.0,-500,6250,4
2016.0,-500,7000,3
2016.0,-500,7500,1
2016.0,-500,8250,6
2016.0,-500,8750,12
2016.0,-500,9250,1
2016.0,-250,-8250,1
2016.0,-250,-8000,30
2016.0,-250,-7500,21
2016.0,-250,-5250,4
2016.0,-250,-5000,2
2016.0,-250,-4500,4
2016.0,-250,-3750,16
2016.0,-250,-3500,81
2016.0,-250,-3250,21
2016.0,-250,-3000,2
2016.0,-250,-2750,9
2016.0,-250,-2500,31
2016.0,-250,-2250,1
2016.0,-250,-1500,2
2016.0,-250,-1250,2
2016.0,-250,-1000,5
2016.0,-250,-750,5
2016.0,-250,-500,14
2016.0,-250,-250,24
2016.0,-250,0,6
2016.0,-250,250,6
2016.0,-250,500,5
2016.0,-250,1000,2
2016.0,-250,1500,17
2016.0,-250,2000,29
2016.0,-250,2500,4
2016.0,-250,2750,3
2016.0,-250,3250,4
2016.0,-250,3500,31
2016.0,-250,3750,8
2016.0,-250,5250,1
2016.0,-250,5750,1
2016.0,-250,6500,12
2016.0,-250,6750,7
2016.0,-250,7000,3
2016.0,0,-8500,1
2016.0,0,-8250,2
2016.0,0,-8000,2
2016.0,0,-7500,3
2016.0,0,-7000,1
2016.0,0,-3750,7
2016.0,0,-3250,2
2016.0,0,-2750,6
2016.0,0,-2500,17
2016.0,0,-2250,14
2016.0,0,-2000,25
2016.0,0,-1750,5
2016.0,0,-1500,7
2016.0,0,-1250,3
2016.0,0,-1000,2
2016.0,0,-750,9
2016.0,0,-500,25
2016.0,0,-250,68
2016.0,0,0,2
2016.0,0,250,3
2016.0,0,500,1
2016.0,0,750,2
2016.0,0,1250,3
2016.0,0,1500,3
2016.0,0,1750,2
2016.0,0,2000,1
2016.0,0,2250,1
2016.0,0,3750,24
2016.0,0,5250,1
2016.0,0,6500,1
2016.0,0,6750,32
2016.0,0,7000,18
2016.0,0,7250,3
2016.0,0,7500,13
2016.0,0,7750,1
2016.0,0,8000,7
2016.0,0,8250,50
2016.0,0,8500,14
2016.0,0,8750,7
2016.0,250,-8000,5
2016.0,250,-7250,1
2016.0,250,-6250,14
2016.0,250,-5250,2
2016.0,250,-4750,1
2016.0,250,-4500,2
2016.0,250,-3000,21
2016.0,250,-2750,6
2016.0,250,-2500,1
2016.0,250,-2250,8
2016.0,250,-2000,3
2016.0,250,-1750,2
2016.0,250,-1500,2
2016.0,250,-1250,3
2016.0,250,-1000,7
2016.0,250,-750,7
2016.0,250,-500,7
2016.0,250,-250,2
2016.0,250,0,21
2016.0,250,500,1
2016.0,250,750,2
2016.0,250,1000,2
2016.0,250,1250,1
2016.0,250,1750,3
2016.0,250,2000,9
2016.0,250,2250,10
2016.0,250,2500,1
2016.0,250,3250,3
2016.0,250,3500,1
2016.0,250,3750,17
2016.0,250,4000,4
2016.0,250,6250,7
2016.0,250,6500,25
2016.0,250,6750,18
2016.0,250,7000,9
2016.0,250,8250,4
2016.0,250,8500,1
2016.0,250,9500,10
2016.0,500,-8000,7
2016.0,500,-7500,1
2016.0,500,-6250,12
2016.0,500,-3000,18
2016.0,500,-2750,41
2016.0,500,-2500,53
2016.0,500,-2250,106
2016.0,500,-2000,2
2016.0,500,-1750,39
2016.0,500,-1500,79
2016.0,500,-1250,8
2016.0,500,-1000,13
2016.0,500,-750,17
2016.0,500,-500,11
2016.0,500,-250,7
2016.0,500,250,5
2016.0,500,500,8
2016.0,500,1000,22
2016.0,500,1500,4
2016.0,500,1750,3
2016.0,500,2000,1
2016.0,500,2250,1
2016.0,500,2500,3
2016.0,500,2750,7
2016.0,500,3000,4
2016.0,500,3500,4
2016.0,500,3750,9
2016.0,500,4000,4
2016.0,500,4250,3
2016.0,500,8000,3
2016.0,500,9000,2
2016.0,500,9500,3
2016.0,750,-6500,1
2016.0,750,-6250,5
2016.0,750,-6000,2
2016.0,750,-5250,1
2016.0,750,-3000,11
2016.0,750,-2750,12
2016.0,750,-2500,33
2016.0,750,-2250,30
2016.0,750,-2000,6
2016.0,750,-1750,1
2016.0,750,-1000,1
2016.0,750,-750,1
2016.0,750,0,3
2016.0,750,250,2
2016.0,750,750,2
2016.0,750,1000,1
2016.0,750,1250,6
2016.0,750,1750,5
2016.0,750,2000,2
2016.0,750,2500,3
2016.0,750,2750,10
2016.0,750,3000,4
2016.0,750,3250,2
2016.0,750,3500,1
2016.0,750,3750,1
2016.0,750,4750,9
2016.0,750,5000,6
2016.0,750,5750,1
2016.0,750,6500,22
2016.0,750,7500,1
2016.0,750,7750,2
2016.0,750,8000,9
2016.0,750,8750,2
2016.0,1000,-7750,8
2016.0,1000,-7500,3
2016.0,1000,-7250,16
2016.0,1000,-7000,14
2016.0,1000,-6750,1
2016.0,1000,-6000,1
2016.0,1000,-5750,11
2016.0,1000,-5500,15
2016.0,1000,-5000,1
2016.0,1000,-4500,2
2016.0,1000,-3500,3
2016.0,1000,-2750,19
2016.0,1000,-2500,67
2016.0,1000,-2250,74
2016.0,1000,-2000,4
2016.0,1000,-1750,1
2016.0,1000,-1500,2
2016.0,1000,-1000,1
2016.0,1000,0,4
2016.0,1000,500,1
2016.0,1000,1250,1
2016.0,1000,1750,1
2016.0,1000,2000,15
2016.0,1000,2250,8
2016.0,1000,2500,4
2016.0,1000,2750,1
2016.0,1000,5000,2
2016.0,1000,6250,11
2016.0,1000,6750,13
2016.0,1000,7000,3
2016.0,1250,-7500,5
2016.0,1250,-3750,1
2016.0,1250,-3000,50
2016.0,1250,-2750,98
2016.0,1250,-2500,3
2016.0,1250,-2250,7
2016.0,1250,-2000,8
2016.0,1250,-1750,16
2016.0,1250,-1000,35
2016.0,1250,-750,46
2016.0,1250,-500,13
2016.0,1250,-250,1
2016.0,1250,250,1
2016.0,1250,1500,3
2016.0,1250,2000,6
2016.0,1250,2250,3
2016.0,1250,2500,2
2016.0,1250,2750,7
2016.0,1250,3000,9
2016.0,1250,4500,1
2016.0,1250,6250,1
2016.0,1250,6500,1
2016.0,1250,7250,10
2016.0,1250,8000,1
2016.0,1500,-7250,4
2016.0,1500,-7000,7
2016.0,1500,-6500,2
2016.0,1500,-6000,6
2016.0,1500,-5500,11
2016.0,1500,-3750,1
2016.0,1500,-3500,55
2016.0,1500,-3250,15
2016.0,1500,-3000,3
2016.0,1500,-2750,14
2016.0,1500,-2500,19
2016.0,1500,-2250,16
2016.0,1500,-2000,9
2016.0,1500,-1750,4
2016.0,1500,-1250,2
2016.0,1500,-1000,154
2016.0,1500,-750,102
2016.0,1500,-500,1
2016.0,1500,-250,2
2016.0,1500,500,1
2016.0,1500,750,18
2016.0,1500,1000,3
2016.0,1500,1500,1
2016.0,1500,2250,1
2016.0,1500,2750,4
2016.0,1500,3000,2
2016.0,1500,3250,2
2016.0,1500,4250,2
2016.0,1500,5000,7
2016.0,1500,6000,6
2016.0,1500,7000,1
2016.0,1500,7250,7
2016.0,1500,7750,46
2016.0,1500,8250,7
2016.0,1750,-5000,8
2016.0,1750,-4000,7
2016.0,1750,-3750,93
2016.0,1750,-3500,60
2016.0,1750,-3250,1
2016.0,1750,-3000,1
2016.0,1750,-2750,5
2016.0,1750,-2500,10
2016.0,1750,-1500,3
2016.0,1750,-1250,14
2016.0,1750,-1000,64
2016.0,1750,-750,2
2016.0,1750,-500,2
2016.0,1750,-250,17
2016.0,1750,0,5
2016.0,1750,250,1
2016.0,1750,1250,20
2016.0,1750,1500,50
2016.0,1750,2000,2
2016.0,1750,2500,31
2016.0,1750,2750,1
2016.0,1750,3000,3
2016.0,1750,3250,2
2016.0,1750,3500,1
2016.0,1750,3750,1
2016.0,1750,4000,32
2016.0,1750,4250,19
2016.0,1750,4500,4
2016.0,1750,5000,40
2016.0,1750,5250,6
2016.0,1750,5750,20
2016.0,1750,7500,20
2016.0,1750,7750,1
2016.0,1750,8000,20
2016.0,2000,-7500,4
2016.0,2000,-7000,8
2016.0,2000,-6250,18
2016.0,2000,-6000,1
2016.0,2000,-5750,5
2016.0,2000,-4000,17
2016.0,2000,-2750,2
2016.0,2000,-2000,1
2016.0,2000,-1250,49
2016.0,2000,-1000,55
2016.0,2000,-750,1
2016.0,2000,-500,32
2016.0,2000,-250,30
2016.0,2000,0,8
2016.0,2000,250,16
2016.0,2000,500,2
2016.0,2000,750,10
2016.0,2000,1250,83
2016.0,2000,1500,2
2016.0,2000,1750,11
2016.0,2000,2000,1
2016.0,2000,2500,20
2016.0,2000,3250,9
2016.0,2000,3500,1
2016.0,2000,4000,1
2016.0,2000,4250,33
2016.0,2000,4500,1
2016.0,2000,5000,1
2016.0,2000,5250,2
2016.0,2000,6500,4
2016.0,2000,7500,9
2016.0,2250,-7250,1
2016.0,2250,-6750,2
2016.0,2250,-4000,11
2016.0,2250,-3500,1
2016.0,2250,-3000,10
2016.0,2250,-2750,6
2016.0,2250,-2000,1
2016.0,2250,-1750,3
2016.0,2250,-1250,39
2016.0,2250,-750,1
2016.0,2250,-500,37
2016.0,2250,-250,7
2016.0,2250,0,5
2016.0,2250,500,3
2016.0,2250,750,2
2016.0,2250,1000,44
2016.0,2250,1250,60
2016.0,2250,1500,3
2016.0,2250,2000,19
2016.0,2250,4250,1
2016.0,2250,4500,1
2016.0,2250,6250,4
2016.0,2250,6750,3
2016.0,2250,7000,4
2016.0,2250,7250,1
