city,grid_id,grid_x,grid_y,business_count_2016,vacancy_rate_2016,business_diversity_2016,rateable_value_total_2016,rateable_value_median_2016,known_occupation_count_2016,business_count_2025,vacancy_rate_2025,business_diversity_2025,rateable_value_total_2025,rateable_value_median_2025,known_occupation_count_2025,business_count_change,business_count_pct_change,vacancy_rate_pp_change,business_diversity_change,rateable_value_total_change,rateable_value_total_pct_change,cell_status
Birmingham,Birmingham_400500_284250,400500,284250,14.0,0.0,-0.0,32695.0,2062.5,9.0,14.0,0.0,-0.0,75775.0,5100.0,11.0,0.0,0.0,0.0,0.0,43080.0,131.76326655451905,persistent
Birmingham,Birmingham_400500_285000,400500,285000,1.0,,-0.0,,,0.0,0.0,,,,,,-1.0,-100.0,,,,,disappeared
Birmingham,Birmingham_400750_277750,400750,277750,1.0,0.0,-0.0,3250.0,3250.0,1.0,1.0,0.0,-0.0,4850.0,4850.0,1.0,0.0,0.0,0.0,0.0,1600.0,49.23076923076923,persistent
Birmingham,Birmingham_400750_279250,400750,279250,1.0,,-0.0,3350.0,3350.0,0.0,1.0,0.0,-0.0,6200.0,6200.0,1.0,0.0,0.0,,0.0,2850.0,85.07462686567165,persistent
Birmingham,Birmingham_400750_282750,400750,282750,1.0,0.0,-0.0,6200.0,6200.0,1.0,1.0,,-0.0,7400.0,7400.0,0.0,0.0,0.0,,0.0,1200.0,19.35483870967742,persistent
Birmingham,Birmingham_400750_283750,400750,283750,10.0,0.0,-0.0,57000.0,5100.0,9.0,9.0,0.0,-0.0,77400.0,7900.0,5.0,-1.0,-10.0,0.0,0.0,20400.0,35.78947368421053,declined
Birmingham,Birmingham_400750_284250,400750,284250,3.0,0.0,-0.0,4850.0,4850.0,1.0,1.0,0.0,-0.0,8700.0,8700.0,1.0,-2.0,-66.66666666666666,0.0,0.0,3850.0,79.38144329896907,declined
Birmingham,Birmingham_400750_285000,400750,285000,31.0,0.0,0.23921709381651282,514000.0,7300.0,19.0,26.0,0.07142857142857142,0.2711893730418441,448750.0,8000.0,14.0,-5.0,-16.129032258064516,7.142857142857142,0.031972279225331274,-65250.0,-12.694552529182879,declined
Birmingham,Birmingham_401000_277250,401000,277250,24.0,0.25,0.6519508373776711,5347000.0,39000.0,12.0,26.0,0.0,0.6189772142016319,3763000.0,31125.0,17.0,2.0,8.333333333333332,-25.0,-0.032973623176039246,-1584000.0,-29.624088273798392,intensified
Birmingham,Birmingham_401000_277750,401000,277750,4.0,0.0,0.5623351446188083,21800.0,4325.0,4.0,4.0,0.0,-0.0,21750.0,5025.0,3.0,0.0,0.0,0.0,-0.5623351446188083,-50.0,-0.22935779816513763,persistent
