year,grid_x,grid_y,retail_count
2016.0,3750,-4500,9
2016.0,3750,-1500,16
2016.0,3750,-1250,7
2016.0,3750,-1000,1
2016.0,3750,-250,1
2016.0,3750,0,3
2016.0,3750,750,6
2016.0,3750,1250,29
2016.0,3750,2000,11
2016.0,3750,6000,3
2016.0,4000,-6750,2
2016.0,4000,-5250,1
2016.0,4000,-1250,3
2016.0,4000,-750,3
2016.0,4000,-500,3
2016.0,4000,0,2
2016.0,4000,1500,3
2016.0,4000,3000,2
2016.0,4000,3250,8
2016.0,4250,-6250,3
2016.0,4250,-750,7
2016.0,4250,-250,3
2016.0,4250,0,1
2016.0,4250,3000,1
2016.0,4250,3250,1
2016.0,4500,-6500,2
2016.0,4500,-6250,41
2016.0,4500,-1250,1
2016.0,4500,-500,2
2016.0,4500,1250,2
2016.0,4500,2750,10
2016.0,4500,4750,7
2016.0,4750,-3500,5
2016.0,4750,-3250,4
2016.0,4750,1250,17
2016.0,4750,1500,15
2016.0,4750,2250,9
2016.0,4750,2500,3
2016.0,4750,4750,1
2016.0,5000,-7750,1
2016.0,5000,-6750,459
2016.0,5000,-6000,1
2016.0,5000,-5750,3
2016.0,5000,-5000,1
2016.0,5000,-4000,1
2016.0,5000,-3750,7
2016.0,5000,-3500,3
2016.0,5000,-1750,29
2016.0,5000,-1250,6
2016.0,5000,-750,2
2016.0,5000,750,6
2016.0,5000,1000,2
2016.0,5000,1500,1
2016.0,5000,2250,11
2016.0,5000,3250,2
2016.0,5250,-6000,1
2016.0,5250,-3750,24
2016.0,5250,-3500,25
2016.0,5250,-2000,2
2016.0,5250,-1250,1
2016.0,5250,-1000,1
2016.0,5250,750,2
2016.0,5500,-7250,33
2016.0,5500,-6500,1
2016.0,5500,-6250,2
2016.0,5500,-6000,1
2016.0,5500,-5750,2
2016.0,5500,-5500,42
2016.0,5500,-3750,4
2016.0,5500,-3500,39
2016.0,5500,-2750,1
2016.0,5500,-1750,1
2016.0,5500,-1500,1
2016.0,5500,1250,3
2016.0,5750,-6500,1
2016.0,5750,-5750,5
2016.0,5750,-5250,1
2016.0,5750,-4250,1
2016.0,5750,-4000,1
