"city","year","grid_id","grid_x","grid_y","retail_records","records_with_rateable_value","rateable_value_total","rateable_value_median"
"Birmingham",2016,"Birmingham_402250_282750",402250,282750,3,2,4525,2262.5
"Birmingham",2016,"Birmingham_402250_283250",402250,283250,6,6,57150,6850
"Birmingham",2016,"Birmingham_402250_283500",402250,283500,1,1,20000,20000
"Birmingham",2016,"Birmingham_402250_284000",402250,284000,14,9,41325,3800
"Birmingham",2016,"Birmingham_402250_285250",402250,285250,1,1,150000,150000
"Birmingham",2016,"Birmingham_402250_286000",402250,286000,1,1,135000,135000
"Birmingham",2016,"Birmingham_402250_286250",402250,286250,2,2,23350,11675
"Birmingham",2016,"Birmingham_402500_277750",402500,277750,2,2,18200,9100
"Birmingham",2016,"Birmingham_402500_278750",402500,278750,21,14,156585,2362.5
"Birmingham",2016,"Birmingham_402500_279000",402500,279000,1,1,1875,1875
"Birmingham",2016,"Birmingham_402500_280000",402500,280000,1,1,8400,8400
"Birmingham",2016,"Birmingham_402500_283000",402500,283000,2,2,5375,2687.5
"Birmingham",2016,"Birmingham_402500_284000",402500,284000,4,3,12625,5000
"Birmingham",2016,"Birmingham_402500_284250",402500,284250,1,1,7000,7000
"Birmingham",2016,"Birmingham_402500_284500",402500,284500,1,1,21500,21500
"Birmingham",2016,"Birmingham_402500_286000",402500,286000,1,1,1350,1350
"Birmingham",2016,"Birmingham_402500_287000",402500,287000,1,1,6200,6200
"Birmingham",2016,"Birmingham_402500_289750",402500,289750,4,3,32650,6700
"Birmingham",2016,"Birmingham_402750_276750",402750,276750,1,1,7900,7900
"Birmingham",2016,"Birmingham_402750_277250",402750,277250,1,1,2450,2450
"Birmingham",2016,"Birmingham_402750_277500",402750,277500,1,1,3050,3050
"Birmingham",2016,"Birmingham_402750_277750",402750,277750,33,27,264025,8000
"Birmingham",2016,"Birmingham_402750_278000",402750,278000,9,9,22990,2425
"Birmingham",2016,"Birmingham_402750_278750",402750,278750,3,1,4450,4450
"Birmingham",2016,"Birmingham_402750_281250",402750,281250,3,3,12150,4000
"Birmingham",2016,"Birmingham_402750_281750",402750,281750,6,3,14125,4950
"Birmingham",2016,"Birmingham_402750_283250",402750,283250,1,1,38000,38000
"Birmingham",2016,"Birmingham_402750_283750",402750,283750,1,1,57500,57500
"Birmingham",2016,"Birmingham_402750_284250",402750,284250,8,6,55700,8750
"Birmingham",2016,"Birmingham_402750_284500",402750,284500,13,13,115750,7600
"Birmingham",2016,"Birmingham_402750_286000",402750,286000,3,3,144500,61500
"Birmingham",2016,"Birmingham_402750_286750",402750,286750,4,2,15200,7600
"Birmingham",2016,"Birmingham_402750_287000",402750,287000,2,2,11500,5750
"Birmingham",2016,"Birmingham_402750_289500",402750,289500,2,2,6750,3375
"Birmingham",2016,"Birmingham_402750_290000",402750,290000,3,3,458000,127000
"Birmingham",2016,"Birmingham_403000_277250",403000,277250,1,1,79000,79000
"Birmingham",2016,"Birmingham_403000_280750",403000,280750,2,2,94250,47125
"Birmingham",2016,"Birmingham_403000_281000",403000,281000,6,4,15200,3375
"Birmingham",2016,"Birmingham_403000_282500",403000,282500,6,6,51900,4125
"Birmingham",2016,"Birmingham_403000_282750",403000,282750,1,1,6600,6600
"Birmingham",2016,"Birmingham_403000_283500",403000,283500,9,9,34075,3200
"Birmingham",2016,"Birmingham_403000_284250",403000,284250,41,34,387050,7250
"Birmingham",2016,"Birmingham_403000_284750",403000,284750,5,2,10100,5050
"Birmingham",2016,"Birmingham_403000_285500",403000,285500,9,7,47750,7100
"Birmingham",2016,"Birmingham_403000_286000",403000,286000,11,11,82250,6900
"Birmingham",2016,"Birmingham_403000_286750",403000,286750,1,1,790,790
"Birmingham",2016,"Birmingham_403000_289500",403000,289500,4,4,7975,2050
"Birmingham",2016,"Birmingham_403000_289750",403000,289750,2,1,4050,4050
"Birmingham",2016,"Birmingham_403000_290000",403000,290000,11,9,897200,3200
"Birmingham",2016,"Birmingham_403250_279250",403250,279250,1,1,7100,7100
"Birmingham",2016,"Birmingham_403250_280000",403250,280000,3,2,8950,4475
"Birmingham",2016,"Birmingham_403250_281000",403250,281000,3,3,11700,4350
"Birmingham",2016,"Birmingham_403250_282000",403250,282000,1,1,2800,2800
"Birmingham",2016,"Birmingham_403250_282250",403250,282250,9,6,22350,3250
"Birmingham",2016,"Birmingham_403250_284250",403250,284250,20,14,229200,8875
"Birmingham",2016,"Birmingham_403250_284500",403250,284500,2,2,22650,11325
"Birmingham",2016,"Birmingham_403250_289250",403250,289250,1,1,2550,2550
"Birmingham",2016,"Birmingham_403250_289500",403250,289500,1,1,1500,1500
"Birmingham",2016,"Birmingham_403250_289750",403250,289750,43,37,168450,4200
"Birmingham",2016,"Birmingham_403500_277500",403500,277500,10,9,82950,5300
"Birmingham",2016,"Birmingham_403500_277750",403500,277750,1,1,4400,4400
"Birmingham",2016,"Birmingham_403500_278000",403500,278000,1,1,4050,4050
"Birmingham",2016,"Birmingham_403500_279000",403500,279000,15,15,59700,3200
"Birmingham",2016,"Birmingham_403500_280000",403500,280000,2,2,13700,6850
"Birmingham",2016,"Birmingham_403500_280750",403500,280750,2,1,5400,5400
"Birmingham",2016,"Birmingham_403500_283000",403500,283000,8,1,207000,207000
"Birmingham",2016,"Birmingham_403500_283250",403500,283250,13,12,43965,2650
"Birmingham",2016,"Birmingham_403500_283750",403500,283750,1,0,NA,NA
"Birmingham",2016,"Birmingham_403500_284000",403500,284000,1,1,2950,2950
"Birmingham",2016,"Birmingham_403500_284250",403500,284250,3,2,19000,9500
"Birmingham",2016,"Birmingham_403500_284500",403500,284500,84,77,2798650,27500
"Birmingham",2016,"Birmingham_403500_284750",403500,284750,6,4,12700,3275
"Birmingham",2016,"Birmingham_403500_285000",403500,285000,4,4,14075,3775
"Birmingham",2016,"Birmingham_403500_287250",403500,287250,2,2,6450,3225
"Birmingham",2016,"Birmingham_403500_287500",403500,287500,17,10,54320,4325
"Birmingham",2016,"Birmingham_403500_289250",403500,289250,2,2,37575,18787.5
"Birmingham",2016,"Birmingham_403500_289500",403500,289500,1,1,4050,4050
"Birmingham",2016,"Birmingham_403500_289750",403500,289750,3,3,5875,1950
"Birmingham",2016,"Birmingham_403500_290500",403500,290500,6,6,17350,2800
"Birmingham",2016,"Birmingham_403750_277000",403750,277000,1,1,23000,23000
"Birmingham",2016,"Birmingham_403750_277250",403750,277250,1,1,4950,4950
"Birmingham",2016,"Birmingham_403750_277750",403750,277750,2,2,9800,4900
"Birmingham",2016,"Birmingham_403750_278500",403750,278500,4,4,36400,7600
"Birmingham",2016,"Birmingham_403750_281750",403750,281750,1,0,NA,NA
"Birmingham",2016,"Birmingham_403750_282000",403750,282000,1,1,40000,40000
"Birmingham",2016,"Birmingham_403750_283250",403750,283250,1,1,4250,4250
"Birmingham",2016,"Birmingham_403750_284500",403750,284500,38,30,1547500,35125
"Birmingham",2016,"Birmingham_403750_284750",403750,284750,12,9,185100,10250
"Birmingham",2016,"Birmingham_403750_287500",403750,287500,69,54,350040,4725
"Birmingham",2016,"Birmingham_403750_289250",403750,289250,1,1,2500,2500
"Birmingham",2016,"Birmingham_403750_289500",403750,289500,13,9,52950,3600
"Birmingham",2016,"Birmingham_403750_290000",403750,290000,1,1,4200,4200
"Birmingham",2016,"Birmingham_403750_290500",403750,290500,4,4,8050,1825
"Birmingham",2016,"Birmingham_403750_290750",403750,290750,3,1,3850,3850
"Birmingham",2016,"Birmingham_404000_282000",404000,282000,8,8,40950,5000
"Birmingham",2016,"Birmingham_404000_282250",404000,282250,31,25,157050,4950
"Birmingham",2016,"Birmingham_404000_282500",404000,282500,14,11,3212500,265000
"Birmingham",2016,"Birmingham_404000_282750",404000,282750,1,1,660000,660000
"Birmingham",2016,"Birmingham_404000_285750",404000,285750,4,4,617600,166500
"Birmingham",2016,"Birmingham_404000_286000",404000,286000,4,3,174200,70000
"Birmingham",2016,"Birmingham_404000_287500",404000,287500,44,40,200575,3425
"Birmingham",2016,"Birmingham_404000_288000",404000,288000,1,1,0,0
"Birmingham",2016,"Birmingham_404000_288250",404000,288250,14,10,31575,3275
"Birmingham",2016,"Birmingham_404000_288500",404000,288500,3,3,6000,1875
"Birmingham",2016,"Birmingham_404000_289000",404000,289000,2,2,2875,1437.5
"Birmingham",2016,"Birmingham_404000_289250",404000,289250,3,3,9775,2400
"Birmingham",2016,"Birmingham_404000_289500",404000,289500,56,53,429455,4850
"Birmingham",2016,"Birmingham_404000_289750",404000,289750,16,13,49225,3850
"Birmingham",2016,"Birmingham_404000_290000",404000,290000,26,22,103650,3000
"Birmingham",2016,"Birmingham_404000_290250",404000,290250,33,28,108250,3000
"Birmingham",2016,"Birmingham_404000_290500",404000,290500,32,29,118430,3550
"Birmingham",2016,"Birmingham_404000_290750",404000,290750,4,4,16800,4175
"Birmingham",2016,"Birmingham_404250_277250",404250,277250,10,8,66450,6250
"Birmingham",2016,"Birmingham_404250_277750",404250,277750,6,1,8100,8100
"Birmingham",2016,"Birmingham_404250_279250",404250,279250,4,3,9325,2800
"Birmingham",2016,"Birmingham_404250_280500",404250,280500,7,6,32850,5700
"Birmingham",2016,"Birmingham_404250_281250",404250,281250,1,1,5800,5800
"Birmingham",2016,"Birmingham_404250_281500",404250,281500,2,2,30000,15000
"Birmingham",2016,"Birmingham_404250_282250",404250,282250,30,20,203575,4725
"Birmingham",2016,"Birmingham_404250_282500",404250,282500,1,1,11750,11750
"Birmingham",2016,"Birmingham_404250_282750",404250,282750,17,15,294625,5400
"Birmingham",2016,"Birmingham_404250_283750",404250,283750,4,4,23150,5300
"Birmingham",2016,"Birmingham_404250_284500",404250,284500,1,1,420,420
"Birmingham",2016,"Birmingham_404250_285250",404250,285250,12,10,74400,6600
"Birmingham",2016,"Birmingham_404250_285750",404250,285750,3,2,133400,66700
"Birmingham",2016,"Birmingham_404250_286000",404250,286000,2,1,45000,45000
"Birmingham",2016,"Birmingham_404250_287250",404250,287250,2,2,4700,2350
"Birmingham",2016,"Birmingham_404250_287500",404250,287500,29,27,375975,4250
"Birmingham",2016,"Birmingham_404250_287750",404250,287750,1,1,10750,10750
"Birmingham",2016,"Birmingham_404250_288000",404250,288000,1,1,4650,4650
"Birmingham",2016,"Birmingham_404250_288500",404250,288500,3,2,8900,4450
"Birmingham",2016,"Birmingham_404250_289000",404250,289000,4,4,8775,2175
"Birmingham",2016,"Birmingham_404250_289250",404250,289250,2,2,3225,1612.5
"Birmingham",2016,"Birmingham_404250_289500",404250,289500,98,91,919865,7500
"Birmingham",2016,"Birmingham_404250_289750",404250,289750,6,5,5185,870
"Birmingham",2016,"Birmingham_404250_290000",404250,290000,5,5,26725,4000
"Birmingham",2016,"Birmingham_404250_290500",404250,290500,12,11,74000,2650
"Birmingham",2016,"Birmingham_404250_290750",404250,290750,3,3,10550,3850
"Birmingham",2016,"Birmingham_404250_292250",404250,292250,6,6,20075,2725
"Birmingham",2016,"Birmingham_404500_279250",404500,279250,4,2,146000,73000
"Birmingham",2016,"Birmingham_404500_279750",404500,279750,2,1,1050,1050
"Birmingham",2016,"Birmingham_404500_280000",404500,280000,2,2,13300,6650
"Birmingham",2016,"Birmingham_404500_280500",404500,280500,12,12,33800,3225
"Birmingham",2016,"Birmingham_404500_281250",404500,281250,14,14,70240,4800
"Birmingham",2016,"Birmingham_404500_282250",404500,282250,1,1,4650,4650
"Birmingham",2016,"Birmingham_404500_282500",404500,282500,2,1,4100,4100
"Birmingham",2016,"Birmingham_404500_282750",404500,282750,22,19,150525,6200
"Birmingham",2016,"Birmingham_404500_283000",404500,283000,45,35,434050,6500
"Birmingham",2016,"Birmingham_404500_283750",404500,283750,1,1,375,375
"Birmingham",2016,"Birmingham_404500_284250",404500,284250,4,4,63180,19250
"Birmingham",2016,"Birmingham_404500_285250",404500,285250,1,1,175000,175000
"Birmingham",2016,"Birmingham_404500_286000",404500,286000,15,14,144600,7650
"Birmingham",2016,"Birmingham_404500_286250",404500,286250,1,1,24250,24250
"Birmingham",2016,"Birmingham_404500_286500",404500,286500,3,3,7050,2300
"Birmingham",2016,"Birmingham_404500_287000",404500,287000,5,3,13675,5200
"Birmingham",2016,"Birmingham_404500_287250",404500,287250,1,1,3000,3000
"Birmingham",2016,"Birmingham_404500_287500",404500,287500,2,2,9700,4850
"Birmingham",2016,"Birmingham_404500_288500",404500,288500,12,7,24450,2750
"Birmingham",2016,"Birmingham_404500_288750",404500,288750,1,1,1525,1525
"Birmingham",2016,"Birmingham_404500_289000",404500,289000,19,13,52575,1925
"Birmingham",2016,"Birmingham_404500_289250",404500,289250,138,110,1158650,8800
"Birmingham",2016,"Birmingham_404500_289500",404500,289500,28,22,84175,3600
"Birmingham",2016,"Birmingham_404500_289750",404500,289750,30,28,90050,3025
"Birmingham",2016,"Birmingham_404500_290000",404500,290000,4,2,2925,1462.5
"Birmingham",2016,"Birmingham_404500_290250",404500,290250,1,0,NA,NA
