city,year,distance_km_bin_midpoint,share_percent,smoothed_share_percent
Birmingham,2019,8.25,2.8414359517816927,2.9142932838786595
Birmingham,2019,8.75,2.3446814147569213,2.2519539011789638
Birmingham,2019,9.25,1.6227314876142536,1.8111302453599445
Birmingham,2019,9.75,0.9537687110875612,1.4527310460546652
Birmingham,2019,10.25,1.993641541926083,1.2591807597768652
Birmingham,2019,10.75,0.6358458073917075,0.9228595398949087
Birmingham,2019,11.25,0.5497416876407472,0.6601315847573629
Birmingham,2019,11.75,0.3576632666578355,0.3812131113760469
Birmingham,2019,12.25,0.3112995098688568,0.24432963895144316
Birmingham,2022,0.25,1.30615234375,3.0083550347222223
Birmingham,2022,0.75,9.368896484375,5.044216579861111
Birmingham,2022,1.25,4.4189453125,5.981445312499999
Birmingham,2022,1.75,5.841064453125,6.714545355902777
Birmingham,2022,2.25,8.85009765625,6.869167751736111
Birmingham,2022,2.75,7.000732421875,6.6663953993055545
Birmingham,2022,3.25,5.169677734375,6.072319878472221
Birmingham,2022,3.75,5.11474609375,5.782063802083333
Birmingham,2022,4.25,6.060791015625,6.129286024305555
Birmingham,2022,4.75,7.232666015625,6.383599175347222
Birmingham,2022,5.25,7.11669921875,6.297471788194444
Birmingham,2022,5.75,4.28466796875,5.533854166666666
Birmingham,2022,6.25,6.231689453125,4.998779296874999
Birmingham,2022,6.75,3.021240234375,4.241265190972222
Birmingham,2022,7.25,4.5654296875,3.8994683159722223
Birmingham,2022,7.75,3.228759765625,3.2633463541666665
Birmingham,2022,8.25,2.667236328125,2.787950303819444
Birmingham,2022,8.75,2.197265625,2.1640353732638893
Birmingham,2022,9.25,1.67236328125,1.7679850260416665
Birmingham,2022,9.75,0.9765625,1.4275444878472223
Birmingham,2022,10.25,1.8798828125,1.226128472222222
Birmingham,2022,10.75,0.616455078125,0.8904351128472222
Birmingham,2022,11.25,0.537109375,0.6354437934027778
Birmingham,2022,11.75,0.35400390625,0.3696017795138889
Birmingham,2022,12.25,0.286865234375,0.23396809895833331
Birmingham,2025,0.25,1.0801323162087355,2.8435983407967473
Birmingham,2025,0.75,9.005603186390333,4.84334330955542
Birmingham,2025,1.25,4.340781745763856,5.795209913214368
Birmingham,2025,1.75,5.731452102882603,6.55580308587802
Birmingham,2025,2.25,8.580301086883143,6.740325689897012
Birmingham,2025,2.75,6.96010261257004,6.623311355641065
Birmingham,2025,3.25,5.19813677175454,6.1064980460106355
Birmingham,2025,3.75,5.441166542901506,5.878470112588792
Birmingham,2025,4.25,5.981232701005873,6.199509439906388
Birmingham,2025,4.75,7.263889826503747,6.454540681233451
Birmingham,2025,5.25,7.243637345574832,6.374280849404052
Birmingham,2025,5.75,4.4082900155269025,5.60618675787784
Birmingham,2025,6.25,6.3120232228447986,5.054869221479631
Birmingham,2025,6.75,2.8555998109768446,4.265772557138249
Birmingham,2025,7.25,4.78633632619996,3.958984975659518
Birmingham,2025,7.75,3.2201444676972932,3.325157331773142
Birmingham,2025,8.25,2.8083440221427125,2.8736020162469904
Birmingham,2025,8.75,2.2210220752042127,2.2210220752042127
Birmingham,2025,9.25,1.7687166677918045,1.8242234673747533
Birmingham,2025,9.75,0.9518666036589482,1.4641793619718415
Birmingham,2025,10.25,1.9577398231283332,1.2646549202277277
Birmingham,2025,10.75,0.6480793897252414,0.9196126525499374
Birmingham,2025,11.25,0.5400661581043678,0.6615810436778505
Birmingham,2025,11.75,0.3847971376493621,0.3892976889668984
Birmingham,2025,12.25,0.31053804091001147,0.24903050623701403
Liverpool,2016,0.25,1.4215142655509627,1.6959594941246319
Liverpool,2016,0.75,2.570823671741103,4.295907965632736
Liverpool,2016,1.25,5.857445306986592,8.330812917968881
Liverpool,2016,1.75,16.39278153039621,12.677129190890657
Liverpool,2016,2.25,18.056255670934572,14.088561794983814
Liverpool,2016,2.75,14.517592499243875,12.51022168453361
Liverpool,2016,3.25,4.950095775783849,9.074615496633845
Liverpool,2016,3.75,6.633733239237827,6.567642347458861
Liverpool,2016,4.25,6.462344994455087,4.824635099864458
Liverpool,2016,4.75,1.8651073696945255,3.519620033381501
Liverpool,2016,5.25,2.0869039217663072,2.7601348702266133
Liverpool,2016,5.75,2.3490271196693215,2.7534137625880746
Liverpool,2016,6.25,3.6898880935578187,3.0603443447480143
Liverpool,2016,6.75,4.3149511039419295,2.888956099965274
Liverpool,2016,7.25,1.058574453069866,2.552900718038333
Liverpool,2016,7.75,1.2097993749369895,2.254931612729778
Liverpool,2016,8.25,5.0609940518197405,2.1843599825251205
Liverpool,2016,8.75,0.11089827603589072,1.4808840496913893
Liverpool,2016,9.25,0.776287932251235,0.9006284235642033
Liverpool,2016,9.75,0.11089827603589072,0.3080507667663631
Liverpool,2016,10.25,0.27220485936082267,0.2531617210516293
Liverpool,2016,10.75,0.23187821352958965,0.15010473726070056
Liverpool,2016,11.25,0.0,0.0817734762688891
Liverpool,2016,11.75,0.0,0.025764245947732183
Liverpool,2016,12.25,0.0,0.0
Liverpool,2019,0.25,0.7194244604316548,1.4073986712269528
Liverpool,2019,0.75,2.5238825333176083,3.8238261849536763
Liverpool,2019,1.25,5.460549593112395,7.7105528691800655
Liverpool,2019,1.75,14.482839957542163,12.08606884983816
Liverpool,2019,2.25,18.28045760113221,13.898389485133205
Liverpool,2019,2.75,15.320202854110153,12.716384269633473
Liverpool,2019,3.25,5.177497346385187,9.44686873452058
Liverpool,2019,3.75,7.088100011793844,6.854843993657533
Liverpool,2019,4.25,6.3922632385894556,4.933757911703424
Liverpool,2019,4.75,1.9695718834768252,3.5237383863401077
Liverpool,2019,5.25,1.934190352635924,2.692927625113024
Liverpool,2019,5.75,2.0639226323858946,2.7348612912948322
Liverpool,2019,6.25,3.974525297794551,3.16337094259019
Liverpool,2019,6.75,4.634980540158037,3.075572329022028
Liverpool,2019,7.25,1.2147658922042694,2.8252807589993574
Liverpool,2019,7.75,1.3327043283406064,2.5448493664085126
Liverpool,2019,8.25,5.8733341195895745,2.502915700226704
Liverpool,2019,8.75,0.09435074890906947,1.6825883555450722
Liverpool,2019,9.25,0.8373628965679916,1.0077184154315892
Liverpool,2019,9.75,0.10614459252270315,0.32105463170447246
Liverpool,2019,10.25,0.2830522467272084,0.26339584070448563
Liverpool,2019,10.75,0.23587687227267368,0.15331996697723788
Liverpool,2019,11.25,0.0,0.08386733236361729
Liverpool,2019,11.75,0.0,0.026208541363630405
Liverpool,2019,12.25,0.0,0.0
Liverpool,2022,0.25,0.6627393225331369,1.3500245459008346
Liverpool,2022,0.75,2.3669261519040607,3.67370315823924
Liverpool,2022,1.25,5.428150641699979,7.4923440166444575
Liverpool,2022,1.75,13.780770039974751,11.685017649671552
Liverpool,2022,2.25,18.188512518409425,13.424270051663276
Liverpool,2022,2.75,14.222596254996844,12.115155340486709
Liverpool,2022,3.25,4.8180096780980435,8.921850527152442
Liverpool,2022,3.75,6.574794866400168,6.388947331509923
Liverpool,2022,4.25,6.059330948874395,4.6193047665801705
Liverpool,2022,4.75,1.7988638754470863,3.2996703836173644
Liverpool,2022,5.25,1.830422890805807,2.5247212286976644
Liverpool,2022,5.75,1.9461392804544497,2.5796572924702525
Liverpool,2022,6.25,3.6818851251840945,3.0016130163405568
Liverpool,2022,6.75,4.555017883442036,2.9466769525679686
Liverpool,2022,7.25,1.1361245529139492,3.2131753044860556
Liverpool,2022,7.75,1.2728802861350725,3.459803165252355
Liverpool,2022,8.25,10.172522617294339,3.9203310190055394
Liverpool,2022,8.75,0.14727540500736377,2.636931061084227
Liverpool,2022,9.25,0.7889753839680201,1.4762606073357176
Liverpool,2022,9.75,0.09467704607616242,0.3050704818009678
Liverpool,2022,10.25,0.2629917946560067,0.2431213035042195
Liverpool,2022,10.75,0.2103934357248054,0.13909343806251023
Liverpool,2022,11.25,0.0,0.07597540734506861
Liverpool,2022,11.75,0.0,0.023377048413867264
Liverpool,2022,12.25,0.0,0.0
Liverpool,2025,0.25,0.6073106451243269,1.3152031371350723
Liverpool,2025,0.75,2.1886100607310643,3.647683434551774
Liverpool,2025,1.25,5.637676177380543,7.436690729918642
Liverpool,2025,1.75,13.773347083763035,11.49561386756299
Liverpool,2025,2.25,17.485963103013635,13.130387176451116
Liverpool,2025,2.75,13.704594935258394,11.861018804985804
Liverpool,2025,3.25,5.122035063595738,8.849929338069591
Liverpool,2025,3.75,6.646041022115274,6.428325885183911
Liverpool,2025,4.25,6.096023834078148,4.680238850056657
Liverpool,2025,4.75,1.77609716970322,3.3064690678991124
Liverpool,2025,5.25,1.867766701042741,2.5298244273837263
Liverpool,2025,5.75,1.8563080096253008,2.5832983206651132
Liverpool,2025,6.25,3.8042855505901225,3.031460473880549
Liverpool,2025,6.75,4.560559184141171,2.9627083253759086
Liverpool,2025,7.25,1.168786524578893,3.314108195510739
Liverpool,2025,7.75,1.1802452159963333,3.628585615522707
Liverpool,2025,8.25,11.034719834994844,4.183695555300918
Liverpool,2025,8.75,0.14896298842672168,2.8048330214022887
Liverpool,2025,9.25,0.7218975592987281,1.554562468966044
Liverpool,2025,9.75,0.10312822275696115,0.3004723527239856
Liverpool,2025,10.25,0.2864672854360032,0.24954483531314053
Liverpool,2025,10.75,0.22917382834880257,0.15150936429726392
Liverpool,2025,11.25,0.0,0.08275721579262314
Liverpool,2025,11.75,0.0,0.025463758705422505
Liverpool,2025,12.25,0.0,0.0
