city,window,cluster_id,n_records,n_unique_uarn,centroid_lon,centroid_lat,centroid_x_m,centroid_y_m,median_lon,median_lat,median_x_m,median_y_m,high_street_share,occupied_share,median_rateable_value,median_floor_area,dominant_subgroup,dominant_subgroup_share
Birmingham,2016,11,157,157,-1.9423190509554136,52.48677745859874,-3839.0053290474393,1006.406853502855,-1.943593,52.486774,-3925.381280898836,1006.0245399993402,1.0,0.6496815286624203,4250.0,68.6,RETAIL_HIGH_STREET,1.0
Birmingham,2016,12,906,906,-1.8538040905077264,52.47068479249448,2162.4623075508034,-772.476457660392,-1.855927,52.470521,2018.5253668475616,-790.5820800005451,1.0,0.5783664459161147,4150.0,59.150000000000006,RETAIL_HIGH_STREET,1.0
Birmingham,2016,13,336,336,-1.8518646815476192,52.48959510416667,2293.9575943288046,1317.869394583005,-1.852635,52.489585,2241.7286689758853,1316.752479999476,1.0,0.625,6700.0,74.265,RETAIL_HIGH_STREET,1.0
Birmingham,2016,14,310,310,-1.8272882967741937,52.49152991935484,3960.279051134607,1531.7438654835546,-1.830322,52.49315,3754.5887176967785,1710.8275799996768,1.0,0.5548387096774193,5500.0,66.685,RETAIL_HIGH_STREET,1.0
Birmingham,2016,15,170,170,-1.8199653647058824,52.44706083529412,4456.786529539353,-3383.868686588761,-1.819482,52.4464,4489.559493842273,-3456.91742000065,1.0,0.5411764705882353,11250.0,94.505,RETAIL_HIGH_STREET,1.0
Birmingham,2016,16,230,230,-1.9022491826086956,52.51698941304347,-1122.1988494500747,4346.036297825653,-1.903063,52.517723,-1177.377078207236,4427.126999999304,1.0,0.4521739130434782,5500.0,43.31,RETAIL_HIGH_STREET,1.0
Birmingham,2016,17,559,559,-1.9356374239713776,52.50549136314847,-3385.979446171793,3075.041862432592,-1.935185,52.503692,-3355.304317261261,2876.1402599997805,1.0,0.6135957066189625,4950.0,78.4,RETAIL_HIGH_STREET,1.0
Birmingham,2016,18,236,236,-1.9088639576271187,52.50287009322034,-1570.692053261717,2785.2866845759886,-1.908319,52.502826,-1533.7429822128486,2780.412619999556,1.0,0.5211864406779662,3750.0,93.635,RETAIL_HIGH_STREET,1.0
Birmingham,2016,19,1314,1314,-1.870759292237443,52.453249580669706,1012.8702618872138,-2699.764772770458,-1.870442,52.454784,1034.3832251730453,-2530.150060000705,1.0,0.5745814307458144,5500.0,68.7,RETAIL_HIGH_STREET,1.0
Birmingham,2016,20,296,296,-1.9110040236486487,52.48858310472973,-1715.792236365637,1206.0029768240163,-1.9114135,52.488269,-1743.5554422481027,1171.2818399999564,1.0,0.5337837837837838,5150.0,72.4,RETAIL_HIGH_STREET,1.0
Birmingham,2016,21,619,619,-1.8975105008077549,52.47920815185784,-800.9080153961738,169.69568636480727,-1.898037,52.47877,-836.6055725884863,121.26237999937572,1.0,0.3166397415185784,25500.0,99.7,RETAIL_HIGH_STREET,1.0
Birmingham,2016,22,214,214,-1.894941827102804,52.47759719626168,-626.7474889577838,-8.379345233960024,-1.895122,52.47762,-638.9635234681798,-5.858620000131651,1.0,0.5327102803738317,120000.0,117.23,RETAIL_HIGH_STREET,1.0
Birmingham,2016,23,230,230,-1.8937792695652167,52.47609614782608,-547.9240742240527,-174.30523930454947,-1.893756,52.476109,-546.34635739671,-172.88456000020972,1.0,0.417391304347826,3300.0,17.2,RETAIL_HIGH_STREET,1.0
Birmingham,2025,0,167,167,-1.827558988023952,52.58713116766466,3941.925715532132,12099.505853652312,-1.829018,52.587273,3843.0021763770096,12115.18400000004,1.0,0.437125748502994,12750.0,62.7,RETAIL_HIGH_STREET,1.0
Birmingham,2025,1,447,447,-1.975482807606264,52.407164214765096,-6087.565473473231,-7794.041119866097,-1.972589,52.410562,-5891.360305355924,-7418.449940000458,1.0,0.4675615212527964,7800.0,71.9,RETAIL_HIGH_STREET,1.0
Birmingham,2025,2,174,174,-1.95125275862069,52.45882791954021,-4444.726182977757,-2083.1351940232453,-1.949074,52.458947,-4297.00257463071,-2069.9720400001006,1.0,0.4137931034482758,13000.0,89.86000000000001,RETAIL_HIGH_STREET,1.0
Birmingham,2025,3,243,243,-1.8928117283950616,52.4345623127572,-482.3231069932405,-4765.455367819245,-1.89267,52.434944,-472.71367631793225,-4723.263660000149,1.0,0.4732510288065844,12250.0,74.46,RETAIL_HIGH_STREET,1.0
Birmingham,2025,4,524,524,-1.927938601145038,52.429238998091606,-2863.985923286068,-5353.89457095451,-1.9289035,52.426811,-2929.4077369699426,-5622.2854800002415,1.0,0.4790076335877862,8900.0,62.3,RETAIL_HIGH_STREET,1.0
Birmingham,2025,5,178,178,-1.7801834887640449,52.45550559550562,7154.066625249321,-2450.384892809336,-1.780233,52.452891,7150.709677692333,-2739.4022800002053,1.0,0.4719101123595505,10125.0,81.15,RETAIL_HIGH_STREET,1.0
Birmingham,2025,6,384,384,-1.8700522161458335,52.5460667578125,1060.811245636681,7560.245988593414,-1.879231,52.547497,438.47380159897847,7718.344959999668,1.0,0.4713541666666667,9300.0,81.1,RETAIL_HIGH_STREET,1.0
Birmingham,2025,7,261,261,-1.8240999693486584,52.56108201915709,4176.453173141166,9220.03297762421,-1.824376,52.5619,4157.737816862934,9310.452579999834,1.0,0.3716475095785441,14875.0,94.62,RETAIL_HIGH_STREET,1.0
Birmingham,2025,8,676,676,-1.8420578254437876,52.52594191715976,2958.879424788275,5335.646102839939,-1.840272,52.524771,3079.9614831351905,5206.212919999813,1.0,0.4349112426035503,6500.0,71.1,RETAIL_HIGH_STREET,1.0
Birmingham,2025,9,297,297,-1.8157655521885523,52.45572347474748,4741.541092779917,-2426.3005214145637,-1.816704,52.454728,4677.912705662582,-2536.3402999999994,1.0,0.5117845117845118,12000.0,87.55,RETAIL_HIGH_STREET,1.0
Birmingham,2025,10,280,280,-1.8271871642857145,52.49169563571429,3967.1360090267776,1550.062151856818,-1.830494,52.49316,3742.926819772695,1711.9329800000278,1.0,0.5464285714285714,9100.0,63.0,RETAIL_HIGH_STREET,1.0
Birmingham,2025,11,1189,1189,-1.868311785534062,52.45388971488647,1178.8154557437645,-2629.004336451084,-1.868138,52.455055,1190.5984159700122,-2500.1937200001503,1.0,0.5071488645920942,8500.0,60.56,RETAIL_HIGH_STREET,1.0
Birmingham,2025,12,813,813,-1.854426597785978,52.47119234194341,2120.255235830066,-716.3719415747506,-1.855927,52.470521,2018.5253668475616,-790.5820800005451,1.0,0.5842558425584256,7400.0,49.4,RETAIL_HIGH_STREET,1.0
Birmingham,2025,13,407,407,-1.8517720982800985,52.489462046683045,2300.23490023174,1303.161220343665,-1.852136,52.489478,2275.5617333021423,1304.9246999994918,1.0,0.538083538083538,11000.0,62.25,RETAIL_HIGH_STREET,1.0
Birmingham,2025,14,598,598,-1.9366824197324413,52.50569243143812,-3456.8319688265874,3097.2679511702386,-1.935616,52.5041,-3384.526863803582,2921.2405799998014,1.0,0.4648829431438127,7600.0,64.19999999999999,RETAIL_HIGH_STREET,1.0
